Model,Model Type,Target,Category,Predictable User Percentage (f>0.5)
xgboost,cm_demo_nonprime,purchase,3,0.019333333333333334
xgboost,cm_demo_nonprime,purchase,4,0.07233333333333333
xgboost,cm_demo_nonprime,purchase,5,0.9196666666666666
xgboost,cm_demo_nonprime,intent,0,0.0006666666666666666
xgboost,cm_demo_nonprime,intent,1,0.5916666666666667
xgboost,cm_demo_nonprime,intent,2,0.001
xgboost,cm_demo_nonprime,intent,3,0.11333333333333333
xgboost,cm_demo_nonprime,intent,4,0.21566666666666667
xgboost,cm_demo_nonprime,intent,5,0.7196666666666667
logit,cm_only_prime,purchase,0,0.017666666666666667
logit,cm_only_prime,purchase,1,0.868
logit,cm_only_prime,purchase,2,0.03166666666666667
logit,cm_only_prime,purchase,3,0.032
logit,cm_only_prime,purchase,4,0.08466666666666667
logit,cm_only_prime,purchase,5,0.927
logit,cm_only_prime,intent,0,0.006666666666666667
logit,cm_only_prime,intent,1,0.6386666666666667
logit,cm_only_prime,intent,2,0.014666666666666666
logit,cm_only_prime,intent,3,0.163
logit,cm_only_prime,intent,4,0.24966666666666668
logit,cm_only_prime,intent,5,0.7396666666666667
logit,cm_only_nonprime,purchase,0,0.012333333333333333
logit,cm_only_nonprime,purchase,1,0.8676666666666667
logit,cm_only_nonprime,purchase,2,0.027333333333333334
logit,cm_only_nonprime,purchase,3,0.031
logit,cm_only_nonprime,purchase,4,0.08066666666666666
logit,cm_only_nonprime,purchase,5,0.9306666666666666
logit,cm_only_nonprime,intent,0,0.006
logit,cm_only_nonprime,intent,1,0.6343333333333333
logit,cm_only_nonprime,intent,2,0.011666666666666667
logit,cm_only_nonprime,intent,3,0.15033333333333335
logit,cm_only_nonprime,intent,4,0.25133333333333335
logit,cm_only_nonprime,intent,5,0.745
logit,demographics,purchase,0,0.029666666666666668
logit,demographics,purchase,1,0.9396666666666667
logit,demographics,purchase,2,0.06766666666666667
logit,demographics,purchase,3,0.06233333333333333
logit,demographics,purchase,4,0.186
logit,demographics,purchase,5,0.9666666666666667
logit,demographics,intent,0,0.0016666666666666668
logit,demographics,intent,1,0.616
logit,demographics,intent,2,0.001
logit,demographics,intent,3,0.09866666666666667
logit,demographics,intent,4,0.19433333333333333
logit,demographics,intent,5,0.7316666666666667
logit,cm_demo_prime,purchase,0,0.028
logit,cm_demo_prime,purchase,1,0.9063333333333333
logit,cm_demo_prime,purchase,2,0.05366666666666667
logit,cm_demo_prime,purchase,3,0.05566666666666667
logit,cm_demo_prime,purchase,4,0.128
logit,cm_demo_prime,purchase,5,0.9513333333333334
logit,cm_demo_prime,intent,0,0.007666666666666666
logit,cm_demo_prime,intent,1,0.622
logit,cm_demo_prime,intent,2,0.018
logit,cm_demo_prime,intent,3,0.15333333333333332
logit,cm_demo_prime,intent,4,0.26
logit,cm_demo_prime,intent,5,0.738
logit,cm_demo_nonprime,purchase,0,0.025333333333333333
logit,cm_demo_nonprime,purchase,1,0.921
logit,cm_demo_nonprime,purchase,2,0.055
logit,cm_demo_nonprime,purchase,3,0.06
logit,cm_demo_nonprime,purchase,4,0.14433333333333334
logit,cm_demo_nonprime,purchase,5,0.9586666666666667
logit,cm_demo_nonprime,intent,0,0.007333333333333333
logit,cm_demo_nonprime,intent,1,0.6266666666666667
logit,cm_demo_nonprime,intent,2,0.008333333333333333
logit,cm_demo_nonprime,intent,3,0.15433333333333332
logit,cm_demo_nonprime,intent,4,0.257
logit,cm_demo_nonprime,intent,5,0.7393333333333333
