SampleID,precision_mean,precision_ver,recall_mean,recall_var,f1_mean,f1_var
754803,0.05,0.010000000000000004,0.1,0.040000000000000015,0.06666666666666667,0.017777777777777778
754806,0.16666666666666666,0.044444444444444446,0.2,0.0711111111111111,0.18095238095238098,0.05478458049886623
754807,0.0,0.0,0.0,0.0,0.0,0.0
754809,0.0,0.0,0.0,0.0,0.0,0.0
754811,0.0,0.0,0.0,0.0,0.0,0.0
754812,0.0,0.0,0.0,0.0,0.0,0.0
754813,0.0,0.0,0.0,0.0,0.0,0.0
754815,0.0,0.0,0.0,0.0,0.0,0.0
754816,0.05,0.010000000000000004,0.1,0.040000000000000015,0.06666666666666667,0.017777777777777778
754818,0.0,0.0,0.0,0.0,0.0,0.0
754819,0.06666666666666667,0.017777777777777778,0.1,0.04000000000000001,0.08,0.0256
754820,0.0,0.0,0.0,0.0,0.0,0.0
754821,0.6869047619047619,0.0012981859410430845,1.0,0.0,0.8138461538461538,0.0006642998027613384
754822,0.0,0.0,0.0,0.0,0.0,0.0
754823,0.0,0.0,0.0,0.0,0.0,0.0
754826,0.0,0.0,0.0,0.0,0.0,0.0
754830,0.4,0.24000000000000005,0.2,0.06000000000000001,0.26666666666666666,0.10666666666666666
754831,0.0,0.0,0.0,0.0,0.0,0.0
754832,0.0,0.0,0.0,0.0,0.0,0.0
754834,0.0,0.0,0.0,0.0,0.0,0.0
754836,0.0,0.0,0.0,0.0,0.0,0.0
754837,0.0,0.0,0.0,0.0,0.0,0.0
754838,0.0,0.0,0.0,0.0,0.0,0.0
754840,0.0,0.0,0.0,0.0,0.0,0.0
754841,0.0,0.0,0.0,0.0,0.0,0.0
754842,0.19,0.0344,0.31666666666666665,0.13444444444444445,0.2333333333333333,0.059444444444444446
754845,0.0,0.0,0.0,0.0,0.0,0.0
754846,0.8,0.06,0.7,0.07111111111111111,0.74,0.0624
754851,0.6,0.24000000000000005,0.4,0.14,0.4666666666666666,0.16
754854,0.0,0.0,0.0,0.0,0.0,0.0
754857,0.85,0.015,0.9333333333333333,0.006666666666666664,0.8779220779220779,0.0006476640242874014
754858,0.1,0.040000000000000015,0.1,0.040000000000000015,0.1,0.040000000000000015
754859,0.5789682539682539,0.0005675233056185438,1.0,0.0,0.7330669330669333,0.00035225513746992297
