SampleID,precision_mean,precision_ver,recall_mean,recall_var,f1_mean,f1_var
750001,0.0,0.0,0.0,0.0,0.0,0.0
750002,0.0,0.0,0.0,0.0,0.0,0.0
750004,0.0,0.0,0.0,0.0,0.0,0.0
750005,0.0,0.0,0.0,0.0,0.0,0.0
750007,0.0,0.0,0.0,0.0,0.0,0.0
750008,0.0,0.0,0.0,0.0,0.0,0.0
750009,0.0,0.0,0.0,0.0,0.0,0.0
750010,0.0,0.0,0.0,0.0,0.0,0.0
750012,0.0,0.0,0.0,0.0,0.0,0.0
750015,0.0,0.0,0.0,0.0,0.0,0.0
750016,0.0,0.0,0.0,0.0,0.0,0.0
750017,0.0,0.0,0.0,0.0,0.0,0.0
750018,0.0,0.0,0.0,0.0,0.0,0.0
750019,0.0,0.0,0.0,0.0,0.0,0.0
750020,0.0,0.0,0.0,0.0,0.0,0.0
750022,0.0,0.0,0.0,0.0,0.0,0.0
750023,0.0,0.0,0.0,0.0,0.0,0.0
750024,0.16666666666666666,0.04444444444444445,0.4,0.24000000000000005,0.2333333333333333,0.08444444444444446
750025,0.0,0.0,0.0,0.0,0.0,0.0
750026,0.1,0.04000000000000001,0.2,0.16000000000000003,0.13333333333333333,0.07111111111111111
750030,0.0,0.0,0.0,0.0,0.0,0.0
750031,0.0,0.0,0.0,0.0,0.0,0.0
750033,0.0,0.0,0.0,0.0,0.0,0.0
750034,0.0,0.0,0.0,0.0,0.0,0.0
750036,0.0,0.0,0.0,0.0,0.0,0.0
750037,0.0,0.0,0.0,0.0,0.0,0.0
750040,0.0,0.0,0.0,0.0,0.0,0.0
750041,0.0,0.0,0.0,0.0,0.0,0.0
750042,0.0,0.0,0.0,0.0,0.0,0.0
750045,0.0,0.0,0.0,0.0,0.0,0.0
750046,0.06666666666666667,0.017777777777777778,0.2,0.16000000000000003,0.1,0.04000000000000001
750047,0.0,0.0,0.0,0.0,0.0,0.0
750049,0.0,0.0,0.0,0.0,0.0,0.0
750052,0.0,0.0,0.0,0.0,0.0,0.0
750053,0.0,0.0,0.0,0.0,0.0,0.0
750057,0.0,0.0,0.0,0.0,0.0,0.0
750058,0.0,0.0,0.0,0.0,0.0,0.0
750061,0.0,0.0,0.0,0.0,0.0,0.0
750064,0.0,0.0,0.0,0.0,0.0,0.0
750065,0.7,0.16,0.8,0.16,0.7333333333333333,0.1511111111111111
750066,0.0,0.0,0.0,0.0,0.0,0.0
750071,0.0,0.0,0.0,0.0,0.0,0.0
750072,0.0,0.0,0.0,0.0,0.0,0.0
750073,0.0,0.0,0.0,0.0,0.0,0.0
750074,0.0,0.0,0.0,0.0,0.0,0.0
750075,0.0,0.0,0.0,0.0,0.0,0.0
750076,0.0,0.0,0.0,0.0,0.0,0.0
750077,0.0,0.0,0.0,0.0,0.0,0.0
750079,0.0,0.0,0.0,0.0,0.0,0.0
750080,0.0,0.0,0.0,0.0,0.0,0.0
750081,0.0,0.0,0.0,0.0,0.0,0.0
750082,0.0,0.0,0.0,0.0,0.0,0.0
750083,0.0,0.0,0.0,0.0,0.0,0.0
750084,0.0,0.0,0.0,0.0,0.0,0.0
750085,0.0,0.0,0.0,0.0,0.0,0.0
750087,0.0,0.0,0.0,0.0,0.0,0.0
750088,0.0,0.0,0.0,0.0,0.0,0.0
750089,0.0,0.0,0.0,0.0,0.0,0.0
750090,0.0,0.0,0.0,0.0,0.0,0.0
750091,0.95,0.009999999999999998,0.9333333333333332,0.017777777777777785,0.9314285714285715,0.007379591836734695
750094,0.0,0.0,0.0,0.0,0.0,0.0
750097,0.0,0.0,0.0,0.0,0.0,0.0
750099,0.0,0.0,0.0,0.0,0.0,0.0
750101,0.0,0.0,0.0,0.0,0.0,0.0
750102,0.0,0.0,0.0,0.0,0.0,0.0
750104,0.0,0.0,0.0,0.0,0.0,0.0
750105,0.0,0.0,0.0,0.0,0.0,0.0
750107,0.0,0.0,0.0,0.0,0.0,0.0
750108,0.0,0.0,0.0,0.0,0.0,0.0
750110,0.0,0.0,0.0,0.0,0.0,0.0
750111,0.0,0.0,0.0,0.0,0.0,0.0
750112,0.0,0.0,0.0,0.0,0.0,0.0
750115,0.0,0.0,0.0,0.0,0.0,0.0
750116,0.0,0.0,0.0,0.0,0.0,0.0
750117,0.0,0.0,0.0,0.0,0.0,0.0
750118,0.0,0.0,0.0,0.0,0.0,0.0
750119,0.0,0.0,0.0,0.0,0.0,0.0
750121,0.0,0.0,0.0,0.0,0.0,0.0
750122,0.0,0.0,0.0,0.0,0.0,0.0
750123,0.0,0.0,0.0,0.0,0.0,0.0
750124,0.0,0.0,0.0,0.0,0.0,0.0
750125,0.0,0.0,0.0,0.0,0.0,0.0
750126,0.0,0.0,0.0,0.0,0.0,0.0
750129,0.0,0.0,0.0,0.0,0.0,0.0
750130,0.0,0.0,0.0,0.0,0.0,0.0
750131,0.0,0.0,0.0,0.0,0.0,0.0
750132,0.0,0.0,0.0,0.0,0.0,0.0
750135,0.0,0.0,0.0,0.0,0.0,0.0
750137,0.0,0.0,0.0,0.0,0.0,0.0
750140,0.0,0.0,0.0,0.0,0.0,0.0
750141,0.0,0.0,0.0,0.0,0.0,0.0
750142,0.0,0.0,0.0,0.0,0.0,0.0
750144,0.0,0.0,0.0,0.0,0.0,0.0
750145,0.0,0.0,0.0,0.0,0.0,0.0
750146,1.0,0.0,0.9,0.040000000000000015,0.9333333333333332,0.017777777777777785
750147,0.0,0.0,0.0,0.0,0.0,0.0
750149,0.0,0.0,0.0,0.0,0.0,0.0
750152,0.0,0.0,0.0,0.0,0.0,0.0
750155,0.0,0.0,0.0,0.0,0.0,0.0
750156,0.0,0.0,0.0,0.0,0.0,0.0
750157,0.0,0.0,0.0,0.0,0.0,0.0
750159,0.0,0.0,0.0,0.0,0.0,0.0
750160,0.0,0.0,0.0,0.0,0.0,0.0
750162,0.0,0.0,0.0,0.0,0.0,0.0
750166,0.0,0.0,0.0,0.0,0.0,0.0
750168,0.0,0.0,0.0,0.0,0.0,0.0
750169,0.0,0.0,0.0,0.0,0.0,0.0
750173,0.0,0.0,0.0,0.0,0.0,0.0
750174,0.0,0.0,0.0,0.0,0.0,0.0
750175,0.0,0.0,0.0,0.0,0.0,0.0
750176,0.0,0.0,0.0,0.0,0.0,0.0
750177,0.0,0.0,0.0,0.0,0.0,0.0
750178,0.0,0.0,0.0,0.0,0.0,0.0
750179,0.0,0.0,0.0,0.0,0.0,0.0
750180,0.0,0.0,0.0,0.0,0.0,0.0
750182,0.0,0.0,0.0,0.0,0.0,0.0
750184,0.0,0.0,0.0,0.0,0.0,0.0
750185,0.0,0.0,0.0,0.0,0.0,0.0
750188,0.0,0.0,0.0,0.0,0.0,0.0
750193,0.0,0.0,0.0,0.0,0.0,0.0
