Product_id,precision_mean,precision_ver,recall_mean,recall_var,f1_mean,f1_var
1,0.2700549450549451,0.04258211568651129,0.011868642836384773,7.485020245376857e-05,0.022693253781336686,0.0002753844157599557
5,0.06666666666666667,0.017777777777777778,0.0020833333333333333,1.736111111111111e-05,0.00404040404040404,6.529945923885318e-05
6,0.21555555555555556,0.025560493827160496,0.011851851851851853,0.00010096021947873801,0.022363425683308298,0.0003507612180708911
7,0.13454545454545455,0.022161983471074388,0.007849409448818897,4.921502030504062e-05,0.01471455246869698,0.00017476755363728713
10,0.3209965034965035,0.017172503545405643,0.01847307430129516,3.0299816241134957e-05,0.03468018642653482,0.00010781755221919279
26,0.6291988189754183,4.903513991536256e-06,0.9814604297362919,0.00010941800141722483,0.7667932694865895,1.8634822221508596e-05
29,0.761284197970878,1.052412305099982e-06,0.9969365426695843,8.810193010261047e-06,0.863316570154374,2.1707314633386426e-06
30,0.6069957712814855,5.370871732860545e-06,0.9824130415039507,3.4935177354741594e-05,0.7503651722469092,1.0894800487397907e-05
32,0.4337267080745342,0.02272525665590748,0.03583196944899073,5.494157693900004e-05,0.0656682578510431,0.00016490323489483822
33,0.43809345551484374,0.003380114991610206,0.12782341160421443,0.001148910918011252,0.19632847743304255,0.0018844752952122054
36,0.4554029304029304,0.023569147580136594,0.027615470906696582,5.942722169395985e-06,0.05188948843762824,2.3881701236113803e-05
39,0.0,0.0,0.0,0.0,0.0,0.0
42,0.20666666666666664,0.012511111111111112,0.008533516357812857,1.820718812836481e-05,0.016370336013193154,6.703922956462933e-05
43,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
54,0.373970473970474,0.04139787692235245,0.02217432950191571,0.00012385956606626448,0.041766786546064937,0.00044400378237010224
55,0.3865800865800866,0.008919831170913424,0.045730785837651125,0.00010123652182310635,0.08143465253070008,0.0002994217155141333
58,0.2727272727272727,0.054106932029009944,0.014929214929214929,0.00015459565061645277,0.028244711263579185,0.0005518579031360304
66,0.0,0.0,0.0,0.0,0.0,0.0
80,0.305,0.0421,0.01031590413943355,3.479620848581505e-05,0.01992121804076496,0.0001315712204788051
83,0.48540061720963656,0.0001620422409762799,0.37220299884659747,0.00421551998233312,0.4185834928310467,0.001564698046009716
97,0.16666666666666666,0.04444444444444445,0.00380952380952381,2.1768707482993206e-05,0.007442021460713049,8.3078520464286e-05
113,0.31333333333333335,0.03448888888888889,0.01230023479512232,4.516679512927344e-05,0.023350947902672038,0.00015261506405086242
114,0.28271241830065363,0.010505899440386175,0.014380121596616441,6.726001075110356e-05,0.02715009783018509,0.00022827411442257598
118,0.0,0.0,0.0,0.0,0.0,0.0
119,0.25,0.15,0.00392156862745098,2.3068050749711647e-05,0.007657080051291445,8.797651301995415e-05
147,0.6152544053771273,1.6858327691855241e-06,0.9864659781732952,2.0675227698074362e-05,0.7578413711789004,3.850197826183902e-06
154,0.6739594531279848,1.169293365430667e-06,0.9915841584158416,2.5977845309283452e-05,0.8024796875603327,3.0241752463344027e-06
155,0.5937885391170461,1.9720096050892548e-06,0.9764532779403897,5.185821676871478e-05,0.7384883909442898,9.225889882445337e-06
157,0.5329138806628545,0.00013413873667441858,0.8075733828679785,0.007186428481192071,0.6405549927821867,0.0011724424655129768
158,0.09166666666666666,0.016944444444444443,0.002356029025783542,9.852093829524067e-06,0.004591851656868767,3.754446610258797e-05
163,0.5775258522904556,1.5587102184418958e-05,0.9111175892455565,0.0002814623471065129,0.7069012932107578,5.044705608996374e-05
164,0.4927424005180291,0.0008884404822491851,0.2120401337792642,0.0009601682307804159,0.29550797378403415,0.0010823724155084066
181,0.4523809523809524,0.10430839002267575,0.0050420168067226885,1.6947955652849375e-05,0.00989801705504855,6.364739267041358e-05
185,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0
187,0.2732600732600733,0.0554608273289592,0.012710818593171533,0.0001188298477721857,0.02421584012402866,0.00042826630854285957
197,0.15,0.039999999999999994,0.0031621047369078865,1.4998750078124999e-05,0.0061776982707215265,5.7247356194812194e-05
