商品ID,高評価,低評価,視聴回数,出稿回数
32,123,17,24184,349
36,816,12,1127532,129
39,0,0,453,746
42,0,0,22165,381
43,1,0,644,81
55,142,10,33118,1152
58,0,0,309332,563
97,21,0,6157,1053
113,7,10,3513,374
114,21,6,3311,264
154,549,80,190406,180
157,392,22,89929,591
163,571,238,558134,300
165,582,19,334225,73
178,24,7,6932,4
185,1331,28,258364,9
186,18,3,5530,11
190,1,0,990,281
197,270,193,1251014,509
